,genes,method,x,n,mean,lower,upper
128,MG_163,exact,10,10,1,0.691502892,1
129,MG_164,exact,10,10,1,0.691502892,1
130,MG_165,exact,10,10,1,0.691502892,1
131,MG_166,exact,10,10,1,0.691502892,1
132,MG_167,exact,10,10,1,0.691502892,1
133,MG_168,exact,10,10,1,0.691502892,1
134,MG_169,exact,10,10,1,0.691502892,1
135,MG_170,exact,10,10,1,0.691502892,1
136,MG_171,exact,10,10,1,0.691502892,1
137,MG_172,exact,10,10,1,0.691502892,1
138,MG_173,exact,10,10,1,0.691502892,1
139,MG_174,exact,10,10,1,0.691502892,1
140,MG_175,exact,10,10,1,0.691502892,1
141,MG_176,exact,10,10,1,0.691502892,1
142,MG_177,exact,10,10,1,0.691502892,1
143,MG_178,exact,10,10,1,0.691502892,1
144,MG_179,exact,10,10,1,0.691502892,1
